nome,qtd_filamento,tempo,cor,preco_kg
Suporte de celular,45,2,Preto,120
Vasinho decorativo,80,4,Branco,125
Miniatura de dragão,35,3,Dourado,150
Organizador de cabos,50,3.5,Cinza,110
Porta-lápis,70,3.5,Verde,137
Suporte para fone,110,5.5,Laranja,135
Mini vaso autoirrigável,120,6,Verde musgo,120
Quebra-cabeça 3D,20,1.5,Multicolorido,180
Estatueta decorativa,150,7,Bronze,135
Caixa organizadora pequena,90,4,Branco gelo,127
Suporte de parede para escovas,25,1.2,Cinza claro,123
Gatilho adaptador para spray,38,2.5,Preto fosco,120
Mini suporte para notebook,100,5,Verde oliva,135
Dispenser para álcool gel,130,6.5,Transparente,120
Torre de aprendizado infantil,180,9,Madeira natural,180
Conjunto de ganchos multifuncionais,60,3,Amarelo,132
Suporte de tomada rotativo,45,2.8,Preto,120
Chaveiro de mesa,137,5.9,Colorido,111
Caixa portátil,135,6.2,Rosa,140
Encaixe portátil,44,2.0,Branco,170
Escultura 3D,64,6.5,Dourado,149
Puxador personalizado,136,3.9,Transparente,124
Puxador decorativo,50,4.3,Preto,157
Boneco decorativo,130,2.9,Amarelo,145
Estatueta decorativo,154,4.2,Branco,138
Torre 3D,114,4.7,Transparente,170
Miniatura infantil,152,1.4,Cinza,160
Capa personalizado,97,8.1,Dourado,173
Chaveiro decorativo,74,2.6,Madeira,118
Suporte de mesa,89,3.7,Cinza,136
Boneco 3D,87,1.4,Marrom,121
Puxador decorativo,83,7.4,Preto,152
Escultura personalizado,165,8.5,Colorido,153
Puxador infantil,64,7.4,Vermelho,160
Torre personalizado,61,4.0,Bronze,133
Organizador infantil,154,4.3,Dourado,175
Escultura infantil,89,8.4,Laranja,128
Base portátil,174,8.2,Bege,175
Cachepô infantil,166,4.4,Dourado,154
Escultura 3D,60,8.9,Vermelho,150
Estatueta decorativo,59,9.0,Marrom,129
Puxador de mesa,30,2.9,Vermelho,126
Base decorativo,115,8.3,Cinza,139
Luminária infantil,85,1.1,Prata,163
Escultura personalizado,111,7.3,Colorido,174
Puxador 3D,40,5.6,Bronze,137
Boneco personalizado,85,1.1,Prata,116
